id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
82997315,2026-01-16T05:56:14.000Z,5600000,1837,₹,"10.973895,76.1952342",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
82316205,2026-01-22T22:30:39.000Z,4950000,710,₹,"10.76104,75.93311",,,12800,,,North - West,,Malappuram,,"Malappuram, Kerala",,,,
79449601,2025-11-23T16:16:28.000Z,3400000,3238,₹,"10.973895,76.1952342",,,,,3,,,Malappuram,2,"Malappuram, Kerala",1050,,12800,
74719847,2026-02-07T22:30:35.000Z,400000,333,₹,"10.986842,76.110384",,1000,,2,5,East,,Malappuram,5,"Malappuram, Kerala",1200,,12800,
75572523,2025-12-06T21:33:29.000Z,2650000,1514,₹,"11.003824,76.000027",,1620,12800,2,4,North - East,,Malappuram,3,"Malappuram, Kerala",1750,,12800,
61944751,2025-12-21T15:17:19.000Z,2250000,344,₹,"10.973895,76.1952342",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
81543693,2026-01-09T22:30:31.000Z,2400000,1967,₹,"11.281441,76.24287",,1220,,1,2,,,Malappuram,3,"Malappuram, Kerala",1220,,12800,
60275743,2025-11-19T16:17:35.000Z,,,₹,,,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
66187925,2026-02-19T13:28:29.000Z,,,₹,"11.281441,76.24287",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
82163995,2025-11-14T07:45:11.000Z,,,₹,"10.917825,75.924027",,,,,,,,Malappuram,2,"Malappuram, Kerala",,,,
63471759,2026-03-16T22:30:47.000Z,,,₹,"10.975668,76.201504",,,,,,,,Malappuram,,"Malappuram, Kerala",,,,
83852951,2026-03-19T08:19:01.000Z,,,₹,"11.063768,76.090462",,,12800,2,3,,,Malappuram,3,"Malappuram, Kerala",,,,
83143065,2026-01-27T12:02:42.000Z,,,₹,,,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
71360775,2026-01-20T21:33:32.000Z,,,₹,"11.363045,76.299199",,,12800,,,,,Malappuram,,"Malappuram, Kerala",,,,
