address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Pune, Maharashtra",3,1020,,17,"18.6325935815659,73.7344393940928",15000000,14706
"Pune, Maharashtra",2,624,,14,"18.532526,73.944996",8150000,9325
"Pune, Maharashtra",2,691,,24,"18.526724,73.994327",7500000,8824
"Pune, Maharashtra",3,815,,22,"18.5721265707285,73.7570589491508",11000000,9167
"Pune, Maharashtra",2,836,,8,"18.5925615,73.7971225",8700000,9062
"Pune, Maharashtra",2,638,,3,"18.4773296,74.2718053",2300000,2791
"Pune, Maharashtra",2,700,,11,"18.5584495,73.7874015",9450000,11595
"Pune, Maharashtra",3,894,,21,"18.5228754199699,73.985179560855",11000000,11168
"Pune, Maharashtra",2,557,,12,"18.6472940504809,73.8976683302982",5690000,7203
"Pune, Maharashtra",2,439,,11,"18.4680743173029,73.8930224694682",3870000,5126
"Pune, Maharashtra",2,753,,10,"18.7343947451665,73.6791497214445",3000000,
"Pune, Maharashtra",3,1160,,9,"18.5915090200973,73.8965510533003",11500000,7099
"Pune, Maharashtra",2,636,,12,"18.6664499937538,73.8474815257257",4600000,5180
"Pune, Maharashtra",3,1180,,7,"18.4893883742541,73.8198003850328",20000000,12821
"Pune, Maharashtra",3,,,5,"18.5527185,73.9454065",12000000,11823
"Pune, Maharashtra",3,1080,,12,"18.4233784664528,73.8883288371333",12500000,8389
"Pune, Maharashtra",2,548,,10,"18.601256,73.7645369",8500000,11184
"Pune, Maharashtra",2,804,,12,"18.601256,73.7645369",8500000,8500
"Pune, Maharashtra",2,800,,6,"18.518510524364,73.8850947377621",13500000,13500
"Pune, Maharashtra",2,780,,11,"18.5768131896138,73.9780692718883",7200000,6857
"Pune, Maharashtra",2,690,,6,"18.6323526,73.8107226",6000000,7308
"Pune, Maharashtra",2,,,8,"18.5925615,73.7971225",12000000,10526
"Pune, Maharashtra",2,750,,11,"18.4711814298442,73.9205422106686",8200000,10250
"Pune, Maharashtra",2,476,,12,"18.763475,73.838081",2250000,3151
"Pune, Maharashtra",2,780,,12,"18.6664499937538,73.8474815257257",6800000,6296
"Pune, Maharashtra",2,705,,10,"18.5768131896138,73.9780692718883",6500000,6878
"Pune, Maharashtra",2,900,,3,"18.4996329991661,73.9322702498349",8300000,9222
"Pune, Maharashtra",2,1079,,11,"18.4680743173029,73.8930224694682",7200000,6261
"Pune, Maharashtra",2,,,3,"18.4572272,74.5821156",2500000,2790
"Pune, Maharashtra",2,790,,10,"18.6325935815659,73.7344393940928",7300000,6986
"Pune, Maharashtra",2,680,,4,"18.5892565,73.813192",5500000,6858
"Pune, Maharashtra",2,1000,,11,"18.532526,73.944996",10000000,7937
"Pune, Maharashtra",2,520,,5,"18.7597578,73.5958671",4000000,5128
"Pune, Maharashtra",3,,,20,"18.6325935815659,73.7344393940928",12000000,11858
"Pune, Maharashtra",3,1012,,20,"18.6325935815659,73.7344393940928",11900000,9154
"Pune, Maharashtra",2,1210,,2,"18.470825437984,73.9158708957281",8800000,5594
"Pune, Maharashtra",3,1548,,12,"18.7343947451665,73.6791497214445",10000000,5000
"Pune, Maharashtra",3,1072,,24,"18.6615249843968,73.7287790957994",8800000,6286
