price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
4000,6000000,"21.20659,81.688776",3,Raipur,,"Raipur, Chhattisgarh",12850
2778,2000000,"21.2116601099173,81.6644951930779",2,Raipur,7,"Raipur, Chhattisgarh",
2288,2700000,"21.207469,81.580108",3,Raipur,3,"Raipur, Chhattisgarh",
3360,4200000,"21.5068606,81.6837359",3,Raipur,,"Raipur, Chhattisgarh",
3669,4450000,"21.140609,81.785506",3,Raipur,,"Raipur, Chhattisgarh",
3110,4500000,"21.140609,81.785506",3,Raipur,8,"Raipur, Chhattisgarh",
3200,3200000,"21.24941778,81.69204536",2,Raipur,10,"Raipur, Chhattisgarh",
4338,5500000,,3,Raipur,7,"Raipur, Chhattisgarh",
2561,2100000,"21.215232,81.6233915",2,Raipur,5,"Raipur, Chhattisgarh",
4813,8000000,"21.2556078,81.6380597",3,Raipur,6,"Raipur, Chhattisgarh",
2862,1800000,"21.1998454,81.6665669",2,Raipur,7,"Raipur, Chhattisgarh",
2421,2300000,"21.201993,81.64514",2,Raipur,4,"Raipur, Chhattisgarh",
3333,2300000,"21.2755728197311,81.6924395742247",2,Raipur,,"Raipur, Chhattisgarh",
3579,6800000,,3,Raipur,6,"Raipur, Chhattisgarh",
4700,4700000,"21.2882699,81.680928",2,Raipur,,"Raipur, Chhattisgarh",
7812,14100000,"21.25979,81.58558",3,Raipur,8,"Raipur, Chhattisgarh",
2874,2500000,"21.210877,81.645558",2,Raipur,5,"Raipur, Chhattisgarh",
3819,2200000,"21.218964,81.661214",2,Raipur,2,"Raipur, Chhattisgarh",
1914,1550000,,2,Raipur,7,"Raipur, Chhattisgarh",
2900,5800000,"21.313073,81.637144",3,Raipur,2,"Raipur, Chhattisgarh",12800
2286,1600000,"20.98424598,81.62506286",2,Raipur,8,"Raipur, Chhattisgarh",
3264,4990000,"21.2526895,81.667884",3,Raipur,,"Raipur, Chhattisgarh",
3000,3000000,,2,Raipur,4,"Raipur, Chhattisgarh",
4060,9500000,"21.235206,81.652123",3,Raipur,1,"Raipur, Chhattisgarh",
2533,1900000,,2,Raipur,4,"Raipur, Chhattisgarh",
5278,9500000,"21.27484,81.6524486",2,Raipur,,"Raipur, Chhattisgarh",
2909,3200000,"21.2526895,81.667884",2,Raipur,3,"Raipur, Chhattisgarh",
2400,3000000,"21.210877,81.645558",3,Raipur,4,"Raipur, Chhattisgarh",
2615,1700000,"21.265495,81.648188",2,Raipur,1,"Raipur, Chhattisgarh",
2639,1900000,"21.2229188,81.669897",2,Raipur,4,"Raipur, Chhattisgarh",
3014,5500000,"21.2755728197311,81.6924395742247",3,Raipur,,"Raipur, Chhattisgarh",
2981,1550000,,2,Raipur,1,"Raipur, Chhattisgarh",
4062,6500000,"21.258383,81.682088",3,Raipur,,"Raipur, Chhattisgarh",
7143,3000000,"21.24436,81.624844",3,Raipur,,"Raipur, Chhattisgarh",
2251,3871720,"21.2513844,81.6296413",3,Raipur,,"Raipur, Chhattisgarh",
4800,4800000,"21.2116601099173,81.6644951930779",2,Raipur,,"Raipur, Chhattisgarh",12850
3369,4211250,"21.165659,81.674626",3,Raipur,8,"Raipur, Chhattisgarh",
4800,4800000,"21.1925845,81.6608447",3,Raipur,,"Raipur, Chhattisgarh",
3398,5630000,"21.201993,81.64514",3,Raipur,,"Raipur, Chhattisgarh",12800
4545,5000000,"21.2268675,81.6629787",2,Raipur,,"Raipur, Chhattisgarh",
3485,4600000,,3,Raipur,8,"Raipur, Chhattisgarh",
4482,6700000,,3,Raipur,6,"Raipur, Chhattisgarh",
3313,5300020,"21.2609629878303,81.5885235897971",3,Raipur,,"Raipur, Chhattisgarh",12850
6053,11500000,,3,Raipur,8,"Raipur, Chhattisgarh",12850
3338,5675000,"21.2609629878303,81.5885235897971",3,Raipur,,"Raipur, Chhattisgarh",12850
2882,4900000,"21.1998454,81.6665669",3,Raipur,,"Raipur, Chhattisgarh",12850
2749,2757247,"21.2053245044542,81.6757543057605",2,Raipur,8,"Raipur, Chhattisgarh",
3000,3075000,"21.5068606,81.6837359",2,Raipur,5,"Raipur, Chhattisgarh",
4843,8800000,"21.2425546,81.6158939",3,Raipur,10,"Raipur, Chhattisgarh",
,6158750,"21.5068606,81.6837359",3,Raipur,10,"Raipur, Chhattisgarh",
4330,6500000,"21.2600288,81.625393",2,Raipur,,"Raipur, Chhattisgarh",12850
3929,5500000,"21.2882699,81.680928",3,Raipur,9,"Raipur, Chhattisgarh",
3800,4636000,"21.231599,81.602232",2,Raipur,,"Raipur, Chhattisgarh",
4175,6200000,"21.21028,81.663204",3,Raipur,,"Raipur, Chhattisgarh",12850
4507,7900000,"20.98424598,81.62506286",3,Raipur,9,"Raipur, Chhattisgarh",
4300,4299999,"21.213106,81.632449",2,Raipur,,"Raipur, Chhattisgarh",
3571,7500000,"21.231599,81.602232",3,Raipur,,"Raipur, Chhattisgarh",
3864,3099000,"21.249421,81.6983714",2,Raipur,8,"Raipur, Chhattisgarh",
3733,2800000,"21.235944,81.6025221",2,Raipur,1,"Raipur, Chhattisgarh",
4008,4200000,"21.5068606,81.6837359",2,Raipur,6,"Raipur, Chhattisgarh",
3464,4850000,"21.205495,81.686105",3,Raipur,,"Raipur, Chhattisgarh",
4375,7000000,"21.218964,81.661214",2,Raipur,,"Raipur, Chhattisgarh",
3077,4000000,"21.215741,81.620084",3,Raipur,6,"Raipur, Chhattisgarh",
2517,3000000,"21.207469,81.580108",3,Raipur,4,"Raipur, Chhattisgarh",
4000,4000000,"21.140609,81.785506",2,Raipur,5,"Raipur, Chhattisgarh",
3700,6127000,,3,Raipur,10,"Raipur, Chhattisgarh",
2578,1900000,"21.2667165,81.5953805",2,Raipur,6,"Raipur, Chhattisgarh",
3200,3200000,"21.244192,81.5772768",2,Raipur,4,"Raipur, Chhattisgarh",
3616,3500000,"21.215741,81.620084",3,Raipur,,"Raipur, Chhattisgarh",12850
2710,1951000,"21.2619056,81.6190733",2,Raipur,,"Raipur, Chhattisgarh",
2917,3500000,"21.2667165,81.5953805",2,Raipur,,"Raipur, Chhattisgarh",
3785,5500000,,2,Raipur,1,"Raipur, Chhattisgarh",
4276,8551000,"21.2268675,81.6629787",3,Raipur,,"Raipur, Chhattisgarh",
3818,2100000,,2,Raipur,2,"Raipur, Chhattisgarh",
3238,3400000,"21.2526895,81.667884",2,Raipur,6,"Raipur, Chhattisgarh",
6516,11500000,"21.249421,81.6983714",3,Raipur,6,"Raipur, Chhattisgarh",
5917,7100000,"21.218964,81.661214",2,Raipur,2,"Raipur, Chhattisgarh",
7146,9090000,"21.16170053,81.78662117",2,Raipur,,"Raipur, Chhattisgarh",
4432,5700000,"20.98424598,81.62506286",2,Raipur,11,"Raipur, Chhattisgarh",
5131,4900000,"21.2434932,81.6688064",2,Raipur,10,"Raipur, Chhattisgarh",
3349,3500000,"21.5068606,81.6837359",2,Raipur,6,"Raipur, Chhattisgarh",
4002,6500000,"21.243718,81.570545",3,Raipur,,"Raipur, Chhattisgarh",
4902,6000000,"21.249421,81.6983714",2,Raipur,6,"Raipur, Chhattisgarh",
2710,4200000,"21.2526895,81.667884",3,Raipur,7,"Raipur, Chhattisgarh",
3400,5100000,"21.2434932,81.6688064",3,Raipur,,"Raipur, Chhattisgarh",
2750,2200000,"21.27484,81.6524486",2,Raipur,7,"Raipur, Chhattisgarh",
