price_per_sq_ft,price,location,bedrooms,city_name,floors,address,land_area_unit
482,4200000,"10.465212,76.276612",3,Thrissur,2,"Thrissur, Kerala",
4803,5115000,"10.53235,76.21187",2,Thrissur,7,"Thrissur, Kerala",
5918,8350000,"10.503479,76.2109384",3,Thrissur,9,"Thrissur, Kerala",
3889,7000000,"10.4170788,76.1059004",3,Thrissur,,"Thrissur, Kerala",12817
4222,3800000,"10.47456066,76.11520126",3,Thrissur,,"Thrissur, Kerala",12850
,4500000,"10.5260106,76.1921091",2,Thrissur,3,"Thrissur, Kerala",
4000,6000000,"10.429213,76.123152",3,Thrissur,,"Thrissur, Kerala",
5000,8000000,"10.4908586,76.2244974",3,Thrissur,1,"Thrissur, Kerala",
,4000000,,2,Thrissur,6,"Thrissur, Kerala",
3906,6250000,"10.587872,76.2216166",3,Thrissur,2,"Thrissur, Kerala",
5000,5000000,"10.4829156,76.2460449",2,Thrissur,,"Thrissur, Kerala",
5087,11700000,"10.565261,76.06116",3,Thrissur,,"Thrissur, Kerala",
3538,4600000,,2,Thrissur,,"Thrissur, Kerala",
7143,5000000,"10.5949449,76.038376",2,Thrissur,1,"Thrissur, Kerala",
2222,4000000,"10.482708,76.168852",3,Thrissur,,"Thrissur, Kerala",
5556,5000000,"10.5164745,76.1860471",2,Thrissur,3,"Thrissur, Kerala",
5455,6000000,"10.5277738,76.2674646",3,Thrissur,,"Thrissur, Kerala",
,5200000,,2,Thrissur,3,"Thrissur, Kerala",
6987,48700000,"10.5246394,76.2028889",3,Thrissur,1,"Thrissur, Kerala",
4333,6500000,"10.69722,76.345342",3,Thrissur,,"Thrissur, Kerala",
5517,8000000,"10.546841,76.146874",2,Thrissur,1,"Thrissur, Kerala",
16062,25700000,"10.5006165,76.2343169",3,Thrissur,,"Thrissur, Kerala",12850
10179,28500000,"10.5729985,76.2636566",3,Thrissur,,"Thrissur, Kerala",
2545,2800000,"10.21107,76.24291",3,Thrissur,,"Thrissur, Kerala",
4562,7300000,"10.503079,76.269796",3,Thrissur,,"Thrissur, Kerala",12596
3455,3800000,"10.3508318156354,76.2069063407691",2,Thrissur,,"Thrissur, Kerala",12596
4222,3800000,"10.46091,76.19245",2,Thrissur,,"Thrissur, Kerala",
8314,17500000,"10.5163516,76.222434",3,Thrissur,15,"Thrissur, Kerala",
3990,3200000,,2,Thrissur,2,"Thrissur, Kerala",
4403,7600000,"10.552414,76.174429",3,Thrissur,2,"Thrissur, Kerala",
,15000000,,2,Thrissur,4,"Thrissur, Kerala",
3861,5000000,"10.5748127,76.1694252",2,Thrissur,,"Thrissur, Kerala",12596
,6600000,"10.5260106,76.1921091",3,Thrissur,10,"Thrissur, Kerala",
3343,6000000,"10.5949449,76.038376",3,Thrissur,,"Thrissur, Kerala",12850
2941,2500000,"10.5209671,76.0515476",2,Thrissur,,"Thrissur, Kerala",
1931,2800000,"10.590119,76.152871",3,Thrissur,,"Thrissur, Kerala",
5000,6000000,"10.5377344,76.2012131",3,Thrissur,3,"Thrissur, Kerala",
