id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
82007533,2026-01-28T11:25:04.000Z,80000000,29630,₹,"10.832124,78.70824",,,12850,,,South,,Trichy,,"Trichy, Tamil Nadu",,,,
80841433,2025-12-20T21:30:44.000Z,660000,550,₹,"10.829778,78.666665",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
80738323,2025-12-18T14:59:35.000Z,2000000,1667,₹,"10.7489771,78.6472392",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
68246163,2026-02-10T18:19:36.000Z,3960000,1650,₹,"10.737967,78.633667",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
83140099,2026-01-27T09:44:50.000Z,420000,78,₹,"10.7489771,78.6472392",,,12800,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
78713959,2025-12-20T21:30:46.000Z,1650000,1375,₹,"10.7489771,78.6472392",,,12850,,,South,,Trichy,,"Trichy, Tamil Nadu",,,,
80924759,2025-12-26T21:30:40.000Z,600000,500,₹,,,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
75726469,2026-02-12T09:22:55.000Z,4400000,5486,₹,,,,,,2,,5,Trichy,2,"Trichy, Tamil Nadu",802,,12800,
82929163,2026-01-10T09:15:10.000Z,4413250,2541,₹,"10.7489771,78.6472392",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
81454299,2026-03-09T18:17:06.000Z,5130000,2850,₹,"10.820532376700513,78.64759706914539",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
80706859,2026-02-02T13:02:35.000Z,3100000,230,₹,"10.7930906,78.652457",,,12800,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
66605299,2026-02-26T03:47:01.000Z,2500000,1096,₹,"10.9229564,78.7405357",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
82348163,2025-11-28T10:47:11.000Z,3500000,2917,₹,"10.7489771,78.6472392",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
71275729,2025-11-25T12:54:12.000Z,840000,700,₹,"10.67986,78.590065",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
83399549,2026-02-13T13:35:55.000Z,4200000,3500,₹,"10.7574385,78.6910413",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
82428713,2025-12-04T07:12:08.000Z,2500000,333,₹,"11.03485,78.657996",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
82400023,2025-12-02T10:15:29.000Z,3500000,324,₹,"10.797612,78.656572",,,12800,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
83626243,2026-03-03T09:39:47.000Z,960000,133,₹,"10.7890584504463,78.6657736657215",,,12800,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
71800859,2025-12-30T22:30:33.000Z,780000,650,₹,,,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
80026293,2026-01-30T07:00:57.000Z,840000,700,₹,"10.7489771,78.6472392",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
82963419,2026-01-13T09:16:34.000Z,1500000,1200,₹,"10.80883,78.62455",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
82693549,2025-12-23T10:13:57.000Z,3000000,2500,₹,"10.7489771,78.6472392",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
67063849,2026-01-07T21:29:46.000Z,348000,290,₹,"11.0146302,78.7936611",,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
74267973,2025-12-18T21:33:58.000Z,600000,500,₹,"10.8152814920269,78.6622806997298",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
82385349,2025-12-01T09:36:36.000Z,2000000,1667,₹,"10.797612,78.656572",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
74142023,2026-02-02T06:53:51.000Z,3607500,1850,₹,"10.800296,78.7489926",,,12850,,,South,,Trichy,,"Trichy, Tamil Nadu",,,,
80040653,2025-12-25T22:30:36.000Z,11000000,1667,₹,"10.871615,78.717788",,,12850,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
80033713,2026-01-13T21:29:42.000Z,1320000,3667,₹,,,,12800,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
82721133,2026-01-31T22:30:35.000Z,9800000,4514,₹,"10.8535665,78.705103",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
72046179,2025-11-30T21:33:20.000Z,10000000,,₹,"10.6031099,78.55069",,2500,,2,3,,,Trichy,4,"Trichy, Tamil Nadu",,,,
82736563,2025-12-27T04:58:28.000Z,900000,1500,₹,"10.8280556,78.6783333",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
49196019,2026-02-18T13:18:25.000Z,1605000,669,₹,"10.80883,78.62455",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
70998469,2026-01-10T21:34:03.000Z,2200000,917,₹,"10.6882981,78.7391187",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
83297493,2026-02-06T17:02:51.000Z,6000000,4107,₹,"10.7554765,78.7675935",,1006,,1,3,East,,Trichy,3,"Trichy, Tamil Nadu",1461,,12800,
82832203,2026-01-04T10:14:09.000Z,1000000,185,₹,,,,12800,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
83311403,2026-02-08T02:58:30.000Z,12000000,7143,₹,"10.815,78.6576",,,,1,3,East,,Trichy,4,"Trichy, Tamil Nadu",1680,,12800,
82967203,2026-01-13T11:32:19.000Z,825000,61,₹,,,,12800,,,,,Trichy,,"Trichy, Tamil Nadu",,,,
83565459,2026-02-26T10:12:21.000Z,12500000,3628,₹,"10.82191,78.668922",,,12850,,,South,,Trichy,,"Trichy, Tamil Nadu",,,,
82743647,2026-01-12T15:27:24.000Z,8500000,5986,₹,"10.7745768,78.6710756",,,,2,3,North,13,Trichy,3,"Trichy, Tamil Nadu",1420,,12800,
80227195,2026-03-25T10:27:48.000Z,1170000,975,₹,"10.7489771,78.6472392",Vision Properties,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
81013849,2026-03-24T23:44:51.000Z,1374000,1145,₹,"10.8191591,78.6925484",Trichy Smart Township,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
82984327,2026-03-24T23:44:50.000Z,3961000,3301,₹,"10.8777573,78.710639",Smart Trichy Developer,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
83220971,2026-03-24T23:44:51.000Z,3500000,3500,₹,"10.83697,78.66797",City Square Developer,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
83485019,2026-03-24T23:44:52.000Z,6300000,1800,₹,"10.909113,78.699475",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
83034329,2026-03-25T23:45:21.000Z,282000,648,₹,"10.67986,78.590065",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
83050779,2026-03-25T23:48:05.000Z,838800,699,₹,"10.7489771,78.6472392",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
83835273,2026-03-18T08:38:41.000Z,6600000,6875,₹,"10.8152814920269,78.6622806997298",,,,1,2,,1,Trichy,2,"Trichy, Tamil Nadu",960,,12800,
83838833,2026-03-18T11:25:39.000Z,16000000,6728,₹,"10.820532376700513,78.64759706914539",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
83840771,2026-03-18T12:56:59.000Z,3300000,5946,₹,"10.856607,78.697215",,555,,1,1,South,2,Trichy,1,"Trichy, Tamil Nadu",555,,12800,
83852635,2026-03-24T23:44:52.000Z,1050000,1750,₹,"10.7554765,78.7675935",Fortune Folks Realtors,,12850,,,North - East,,Trichy,,"Trichy, Tamil Nadu",,,,
83765413,2026-03-24T23:44:52.000Z,2087800,2200,₹,"10.909113,78.699475",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
83545549,2026-03-23T23:45:23.000Z,1932000,1050,₹,"10.7846536,78.7777106",,,12850,,,North,,Trichy,,"Trichy, Tamil Nadu",,,,
83884995,2026-03-21T03:33:55.000Z,7000000,4828,₹,"10.7489771,78.6472392",,800,,1,2,North,,Trichy,3,"Trichy, Tamil Nadu",1450,,12800,
82838449,2026-03-23T23:45:22.000Z,4514463,2599,₹,"10.6882981,78.7391187",,,12850,,,East,,Trichy,,"Trichy, Tamil Nadu",,,,
