City,avg_fuel_price,uber_price_per_km,doctor_fee,grocery_price,housing_price,restaurant_price,movie_ticket_price,electricity_rate,tutor_fee,housing_index,grocery_index,transport_index,healthcare_index,electricity_index,restaurant_index,movie_index,education_index,cost_of_living_index
Vadodara,91.985,16.76470588,300.0,44.0,4550.0,125.0,240.0,5.2,475.6024096385542,44.47268106734435,104.76190476190477,83.82352940000001,30.0,130.0,100.0,61.53846153846154,88.22526342693112,78.04
Aurangabad,98.42,13.42105263,375.0,42.0,4848.0,125.0,245.0,7.5,491.52777777777777,47.38539732186492,100.0,67.10526315,37.5,187.5,100.0,62.82051282051282,91.17945325183473,77.8
Visakhapatnam,102.275,20.75,600.0,42.0,4550.0,100.0,177.0,3.0,476.21505376344084,44.47268106734435,100.0,103.75000000000001,60.0,75.0,80.0,45.38461538461539,88.3389102214168,77.45
Kochi,105.75,18.36956522,300.0,42.0,5171.0,100.0,190.0,6.5,332.78433889602053,50.54246896686541,100.0,91.84782609999999,30.0,162.5,80.0,48.717948717948715,61.73220607896284,77.17
Kottayam,100.455,18.90873016,400.0,44.5,4214.0,100.0,150.0,6.5,311.03132530120484,41.188544619294305,105.95238095238095,94.5436508,40.0,162.5,80.0,38.46153846153847,57.6969755674296,76.98
Kanpur,90.965,16.75675676,275.0,42.0,4550.0,100.0,220.0,6.5,492.4243421052632,44.47268106734435,100.0,83.7837838,27.500000000000004,162.5,80.0,56.41025641025641,91.3457678506857,76.25
Ludhiana,92.725,10.66666667,200.0,46.0,4167.0,125.0,290.0,6.5,452.9625468164794,40.729156485192064,109.52380952380953,53.333333350000004,20.0,162.5,100.0,74.35897435897436,84.02552048840161,75.67
Salem,97.46000000000001,22.61904762,150.0,38.0,5595.0,125.0,60.0,4.5,355.325,54.68673638940476,90.47619047619048,113.09523809999999,15.0,112.5,100.0,15.384615384615385,65.91354688677559,75.34
Hubli,96.72,10.88888889,300.0,44.0,5000.0,100.0,200.0,7.0,354.5151515151515,48.871078095982796,104.76190476190477,54.444444450000006,30.0,175.0,80.0,51.28205128205128,65.76331826205951,74.99
Mangaluru,96.12,8.75,450.0,42.0,4550.0,150.0,250.0,7.0,429.3333333333333,44.47268106734435,100.0,43.75,45.0,175.0,120.0,64.1025641025641,79.64225088784163,74.77
Thiruvananthapuram,101.97,18.88888889,225.0,42.0,4135.5,120.0,150.0,6.5,317.4372325249643,40.42126869318737,100.0,94.44444444999999,22.5,162.5,96.0,38.46153846153847,58.88528504789284,74.3
Amaravati region,98.365,18.90873016,400.0,42.0,4018.0,100.0,150.0,3.0,488.75,39.27279835793178,100.0,94.5436508,40.0,75.0,80.0,38.46153846153847,90.66416953749828,73.58
Erode,97.11500000000001,18.90873016,150.0,42.0,4583.0,100.0,165.0,4.5,341.2258064516129,44.795230182777836,100.0,94.5436508,15.0,112.5,80.0,42.30769230769231,63.2981163513015,73.21
Meerut,91.02,18.90873016,400.0,37.0,4138.0,124.5,215.0,6.5,432.66,40.445704232235364,88.09523809523809,94.5436508,40.0,162.5,99.6,55.12820512820513,80.25935466413097,72.93
Kannur,100.26,18.90873016,200.0,42.0,3822.5,100.0,150.0,6.5,302.0748663101604,37.36193920437885,100.0,94.5436508,20.0,162.5,80.0,38.46153846153847,56.03553328319491,72.27
Madurai,97.32,18.18181818,400.0,37.5,5000.0,125.0,60.0,4.5,349.4449244060475,48.871078095982796,89.28571428571429,90.9090909,40.0,112.5,100.0,15.384615384615385,64.82278029742847,72.26
Indore,99.18,15.0,400.0,38.0,4167.0,115.0,285.0,6.5,458.23741007194246,40.729156485192064,90.47619047619048,75.0,40.0,162.5,92.0,73.07692307692307,85.00401889552269,72.04
Nagpur,97.28,22.12121212,400.0,31.0,4000.0,125.0,360.0,7.5,478.0975609756098,39.096862476786235,73.80952380952381,110.6060606,40.0,187.5,100.0,92.3076923076923,88.68811933249536,71.13
Thrissur,100.59,18.66666667,300.0,38.0,4394.0,100.0,140.0,6.5,315.34986945169715,42.94790343074968,90.47619047619048,93.33333335,30.0,162.5,80.0,35.8974358974359,58.498074736770576,71.11
Solapur,97.505,11.57894737,200.0,42.0,4000.0,100.0,150.0,7.5,309.55555555555554,39.096862476786235,100.0,57.894736849999994,20.0,187.5,80.0,38.46153846153847,57.42321712565393,69.64
Tiruchirappalli,97.03999999999999,20.47619048,300.0,42.0,2338.0,125.0,180.0,4.5,334.0966183574879,22.852116117681557,100.0,102.3809524,30.0,112.5,100.0,46.15384615384615,61.97563672361769,69.35
Asansol,94.955,15.90909091,400.0,39.5,3177.0,100.0,250.0,5.5,363.0,31.052683022187473,94.04761904761905,79.54545454999999,40.0,137.5,80.0,64.1025641025641,67.33727578948722,68.3
Surat,92.195,15.78947368,300.0,33.5,3953.0,150.0,260.0,5.2,500.5394736842105,38.637474342683994,79.76190476190477,78.9473684,30.0,130.0,120.0,66.66666666666666,92.85114210192414,68.01
Jamnagar,92.255,13.42857143,375.0,38.0,3103.0,125.0,235.0,5.2,507.89473684210526,30.329391066366924,90.47619047619048,67.14285715,37.5,130.0,100.0,60.256410256410255,94.21555913709608,67.56
Sangli,97.35,18.90873016,300.0,30.0,3911.0,100.0,200.0,7.5,484.37931034482756,38.226957286677745,71.42857142857143,94.5436508,30.0,187.5,80.0,51.28205128205128,89.85339726559579,65.86
Malappuram,100.72999999999999,18.90873016,400.0,36.0,1511.5,125.0,130.0,6.5,252.92569002123142,14.773726908415599,85.71428571428571,94.5436508,40.0,162.5,100.0,33.33333333333333,46.91825604188985,61.83
