City,avg_fuel_price,uber_price_per_km,doctor_fee,grocery_price,housing_price,restaurant_price,movie_ticket_price,electricity_rate,tutor_fee,housing_index,grocery_index,transport_index,healthcare_index,electricity_index,restaurant_index,movie_index,education_index,cost_of_living_index,cluster
Jaipur,97.46,25.41666667,500.0,121.02860894905196,3579.0,100.0,300.0,7.0,527.225888324873,34.981917701104486,121.02860894905196,127.08333335000002,50.0,175.0,80.0,76.92307692307693,97.80152905093487,88.38,2
Rajkot,92.095,18.33333333,300.0,115.8872072995007,5400.0,100.0,290.0,5.2,566.875,52.780764343661424,115.8872072995007,91.66666665,30.0,130.0,80.0,74.35897435897436,105.15652400321092,85.78,2
Bhopal,99.195,12.0,500.0,134.7794994726613,3482.0,125.0,260.0,6.5,446.783870967742,34.03381878604242,134.7794994726613,60.0,50.0,162.5,100.0,66.66666666666666,82.879362913635,85.25,0
Jabalpur,99.23,18.92857143,300.0,123.34479288326206,3900.0,125.0,200.0,6.5,430.52702702702703,38.11944091486658,123.34479288326206,94.64285715,30.0,162.5,100.0,51.28205128205128,79.86368361913756,84.32,0
Sangli,97.35,18.90873016,300.0,119.03467135270236,3911.0,100.0,200.0,7.5,484.3793103448276,38.22695728667775,119.03467135270236,94.5436508,30.0,187.5,80.0,51.28205128205128,89.85339726559579,83.17,2
Agra,91.03,28.57142857,300.0,103.3438881309502,3951.5,125.0,250.0,6.5,432.241610738255,38.6228130192552,103.3438881309502,142.85714285,30.0,162.5,100.0,64.1025641025641,80.181742561912,82.75,2
Thrissur,100.59,18.66666667,300.0,121.85872589384972,4394.0,100.0,140.0,6.5,315.34986945169715,42.94790343074968,121.85872589384972,93.33333335,30.0,162.5,80.0,35.8974358974359,58.498074736770576,82.52,0
Salem,97.46,22.61904762,150.0,108.6768857608054,5595.0,125.0,60.0,4.5,355.325,54.68673638940476,108.6768857608054,113.0952381,15.0,112.5,100.0,15.384615384615383,65.91354688677559,81.95,0
Mysuru,96.505,12.17391304,500.0,95.06090387072506,6839.0,150.0,220.0,7.0,366.4507772020725,66.84586061968527,95.06090387072506,60.8695652,50.0,175.0,120.0,56.41025641025641,67.97740233533854,81.08,2
Kollam,101.355,26.75,300.0,105.68077855036226,3944.5,129.0,170.0,6.5,320.02298850574715,38.55439350992083,105.68077855036226,133.75,30.0,162.5,103.2,43.58974358974359,59.36494830850522,81.05,0
Nagpur,97.28,22.12121212,400.0,101.02185487415592,4000.0,125.0,360.0,7.5,478.0975609756098,39.09686247678624,101.02185487415592,110.6060606,40.0,187.5,100.0,92.3076923076923,88.68811933249536,81.03,2
Kolhapur,97.81,18.90873016,750.0,97.6264575003562,4775.5,100.0,100.0,7.5,500.0816326530612,46.67676668947317,97.6264575003562,94.5436508,75.0,187.5,80.0,25.64102564102564,92.76621161216588,80.48,2
