address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Coimbatore, Tamil Nadu",2,,,,"11.11594,77.06409",4720000,2950
"Coimbatore, Tamil Nadu",2,,,,"11.1010854015849,76.9621400092189",3690000,2952
"Coimbatore, Tamil Nadu",2,,,,"11.1010854015849,76.9621400092189",3250000,2955
"Coimbatore, Tamil Nadu",2,960,,4,"10.992592,76.936891",5600000,5833
"Coimbatore, Tamil Nadu",2,,,,"10.9766289,76.9686267",2950000,2950
"Coimbatore, Tamil Nadu",2,,,,"11.0393339,76.9787076",4130000,2950
"Coimbatore, Tamil Nadu",2,,,4,"11.08614915,76.99782425",6000000,4979
"Coimbatore, Tamil Nadu",2,1100,,,"11.08614915,76.99782425",9000000,7500
"Coimbatore, Tamil Nadu",2,660,,,"11.031657,77.018625",4940000,4491
"Coimbatore, Tamil Nadu",2,250,,,"10.8186641,77.0157837",3100000,2952
"Coimbatore, Tamil Nadu",3,,,,"11.173014,76.957095",5000000,3571
"Coimbatore, Tamil Nadu",2,,,,,7500000,10714
"Coimbatore, Tamil Nadu",3,1650,,,"11.0498466,76.9340573",8000000,5926
"Coimbatore, Tamil Nadu",3,1755,,2,"11.024999,76.9038011",10000000,4073
"Coimbatore, Tamil Nadu",2,750,,4,"11.024999,76.9038011",5500000,5940
"Coimbatore, Tamil Nadu",2,,,4,"10.9891602,76.9267883",6000000,5319
"Coimbatore, Tamil Nadu",3,,,,"10.9984411,77.0371963",9500000,5278
"Coimbatore, Tamil Nadu",3,850,,,"11.0833627,76.8680841",3250000,2955
"Coimbatore, Tamil Nadu",2,950,,1,"10.6572737,77.0106693",4700000,3926
"Coimbatore, Tamil Nadu",3,,,,"11.076845,76.932334",8000000,3636
"Coimbatore, Tamil Nadu",2,1200,,4,"10.6209165,76.9635859",7200000,
"Coimbatore, Tamil Nadu",2,560,,,"11.0231703,76.9571046",4000000,6483
"Coimbatore, Tamil Nadu",3,,,,"11.0543984,77.0158406",19000000,8261
"Coimbatore, Tamil Nadu",3,,,,"11.053631,76.984382",31500000,15043
"Coimbatore, Tamil Nadu",2,1200,,,"10.6572737,77.0106693",5300000,4417
"Coimbatore, Tamil Nadu",2,,,,"11.0370287,76.9866836",7560000,2953
"Coimbatore, Tamil Nadu",3,,,4,"11.0508726,76.9436909",9500000,5260
"Coimbatore, Tamil Nadu",3,,,,"11.0508726,76.9436909",7000000,4513
"Coimbatore, Tamil Nadu",3,,,4,"11.018997,76.9805076",12500000,4348
"Coimbatore, Tamil Nadu",3,,,,"11.018997,76.9805076",8800000,4400
"Coimbatore, Tamil Nadu",3,,,4,"11.0330186,76.9131669",5400000,4296
"Coimbatore, Tamil Nadu",3,,,,"10.9872555,76.9991176",7400000,4353
"Coimbatore, Tamil Nadu",2,,,,"10.943085,76.952727",9000000,7500
"Coimbatore, Tamil Nadu",3,,,,"11.0498466,76.9340573",6200000,5167
"Coimbatore, Tamil Nadu",3,,,,"11.0498466,76.9340573",5760000,2954
"Coimbatore, Tamil Nadu",2,,,,"11.0330186,76.9131669",9500000,5278
"Coimbatore, Tamil Nadu",3,,,4,"10.9872555,76.9991176",7000000,5128
"Coimbatore, Tamil Nadu",2,,,,"10.9872555,76.9991176",5500000,5429
"Coimbatore, Tamil Nadu",2,1050,,3,"11.024999,76.9038011",4000000,
"Coimbatore, Tamil Nadu",3,,,,"11.0821887,76.9138873",11000000,3597
"Coimbatore, Tamil Nadu",2,,,2,"11.08614915,76.99782425",8000000,5926
"Coimbatore, Tamil Nadu",3,,,,,12500000,5208
"Coimbatore, Tamil Nadu",3,,,,"11.0336148,76.9427006",16000000,6400
"Coimbatore, Tamil Nadu",3,2550,,2,"10.6209165,76.9635859",13000000,
"Coimbatore, Tamil Nadu",2,,,4,"11.024999,76.9038011",4200000,4746
"Coimbatore, Tamil Nadu",2,,,,"11.033992,76.8879496",3840000,2954
"Coimbatore, Tamil Nadu",3,,,4,"10.992592,76.936891",17000000,9832
"Coimbatore, Tamil Nadu",2,650,,,"11.234031,77.105153",3500000,
"Coimbatore, Tamil Nadu",2,,,,"11.0379249,76.9304557",4900000,3267
"Coimbatore, Tamil Nadu",2,,,4,"11.0063681,76.9844677",4630000,4495
"Coimbatore, Tamil Nadu",3,,,3,"11.001869089588,77.0361383823519",4500000,5521
"Coimbatore, Tamil Nadu",2,500,,,,5800000,5273
"Coimbatore, Tamil Nadu",3,1578,,4,,14000000,8235
"Coimbatore, Tamil Nadu",3,,,,,10800000,5400
"Coimbatore, Tamil Nadu",3,2400,,,"10.6209165,76.9635859",13000000,5417
