address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Chennai, Tamil Nadu",2,865,,2,"12.9658547351345,80.2020908058975",12000000,10435
"Chennai, Tamil Nadu",3,1244,,14,"13.0610735,80.242985",32500000,22507
"Chennai, Tamil Nadu",2,890,,14,"12.78926647521,80.2216878562107",6800000,5338
"Chennai, Tamil Nadu",2,545,,7,"12.992956,80.102736",2900000,4610
"Chennai, Tamil Nadu",2,,,14,"13.0491803266122,80.0625094586577",6400000,6504
"Chennai, Tamil Nadu",2,450,,2,"12.949622,80.1463045",5000000,5952
"Chennai, Tamil Nadu",2,915,,4,"13.0637915,80.1612185",6500000,7104
"Chennai, Tamil Nadu",3,1300,,,"13.1451546751276,80.1833368794788",8700000,6502
"Chennai, Tamil Nadu",2,1000,,2,"12.9219672,80.1129557",6500000,5603
"Chennai, Tamil Nadu",2,870,,2,"12.8646634,80.072178",5335000,5500
"Chennai, Tamil Nadu",2,,,19,"12.8337737510533,80.2286447084767",4200000,4468
"Chennai, Tamil Nadu",3,892,,14,"13.0824676325256,80.1749589803406",11200000,8290
"Chennai, Tamil Nadu",3,998,,4,"12.8415741112588,80.0657885550007",8500000,6933
"Chennai, Tamil Nadu",3,,,14,"13.0383375524216,80.1548939621031",14000000,8794
"Chennai, Tamil Nadu",3,,,,"12.9071054889417,80.0834097998215",16500000,9857
"Chennai, Tamil Nadu",2,,,,"12.8153451840046,80.0365118747686",5700000,4145
"Chennai, Tamil Nadu",2,,,2,"12.9039240132826,80.1558227155992",5000000,4744
"Chennai, Tamil Nadu",3,1200,,2,"12.918147,80.190008",11500000,8388
"Chennai, Tamil Nadu",2,,,5,"13.095304037141,80.2065854227755",47107746,26766
"Chennai, Tamil Nadu",3,840,,3,"12.9039240132826,80.1558227155992",6300000,5339
"Chennai, Tamil Nadu",2,,,4,"13.1118299685649,80.1568173577039",6500000,5628
"Chennai, Tamil Nadu",3,800,,,"13.0108155373844,80.1178187446154",8900000,4045
"Chennai, Tamil Nadu",2,,,29,"12.8078981093305,80.2233711681942",6700000,5537
"Chennai, Tamil Nadu",2,620,,2,"13.0383375524216,80.1548939621031",5000000,6098
"Chennai, Tamil Nadu",2,1250,,,"13.0253,80.111669",8200000,6074
"Chennai, Tamil Nadu",3,1240,,2,"12.9039240132826,80.1558227155992",6500000,5159
"Chennai, Tamil Nadu",3,1090,,5,"12.8846331362998,80.1872518913009",8000000,6723
"Chennai, Tamil Nadu",2,830,,4,"12.9385149814434,80.2185794136803",4800000,5117
"Chennai, Tamil Nadu",2,,,4,"13.1560158266193,80.2440427965521",6300000,6923
"Chennai, Tamil Nadu",2,774,,2,"13.1259241190502,80.1573585562108",4500000,5625
"Chennai, Tamil Nadu",2,720,,3,"13.1185145712651,80.186277516593",7500000,9375
"Chennai, Tamil Nadu",2,636,,4,"12.737801093982,80.1748192437816",2600000,3110
"Chennai, Tamil Nadu",2,800,,2,"12.9039240132826,80.1558227155992",4400000,4400
"Chennai, Tamil Nadu",2,785,,3,"12.9037781526015,80.1471307532943",5000000,5525
"Chennai, Tamil Nadu",2,795,,3,"13.0532882456431,80.1923252143928",5500000,6286
"Chennai, Tamil Nadu",2,810,,,"12.8237632195864,80.0426380136672",7500000,8039
"Chennai, Tamil Nadu",3,,,,"13.1067644888464,80.0971337293527",7000000,3906
"Chennai, Tamil Nadu",3,,,,"12.8685949977328,80.0616072702759",16500000,8462
"Chennai, Tamil Nadu",3,1283,,17,"13.0710425,80.260245",30000000,18105
"Chennai, Tamil Nadu",2,600,,3,"13.1185832,80.1884728",5500000,7660
"Chennai, Tamil Nadu",3,,,,"13.0461512,80.0963168",7595000,6329
"Chennai, Tamil Nadu",3,1100,,5,"13.0912126716222,80.2799701650989",6500000,5000
"Chennai, Tamil Nadu",3,2200,,1,"12.9790785,80.219185",32000000,13913
"Chennai, Tamil Nadu",2,950,,3,"12.9636880150318,80.1631250605087",6000000,5714
"Chennai, Tamil Nadu",2,712,,3,"13.0416891865857,80.191141631086",10800000,12135
"Chennai, Tamil Nadu",2,950,,4,"13.1130462547504,80.2287845816225",9500000,8275
"Chennai, Tamil Nadu",3,1100,,,"12.9925796642508,80.2623577594863",14500000,10741
"Chennai, Tamil Nadu",2,468,,2,"13.0223735562891,80.1501986547555",5800000,6197
"Chennai, Tamil Nadu",2,,,2,"12.9743616294466,80.2185476542213",9500000,8261
"Chennai, Tamil Nadu",2,,,2,"12.8873998828313,80.0249993258089",2400000,2927
"Chennai, Tamil Nadu",3,1200,,,"13.0985686,80.2335406",9400000,7833
"Chennai, Tamil Nadu",3,1800,,3,"13.0208596082964,80.1662008076068",15000000,7143
"Chennai, Tamil Nadu",3,1140,,3,"13.0628266729597,80.2706435565149",13000000,9701
"Chennai, Tamil Nadu",3,1347,,3,"13.1178124486582,80.2293795732838",16500000,11403
"Chennai, Tamil Nadu",2,862,,12,"13.1067644888464,80.0971337293527",7000000,6591
"Chennai, Tamil Nadu",2,609,,4,"12.737801093982,80.1748192437816",4500000,5376
"Chennai, Tamil Nadu",2,883,,2,"12.9092583473357,80.101456431951",4500000,
"Chennai, Tamil Nadu",2,903,,2,"13.0601230135131,80.2139808740603",10900000,10900
"Chennai, Tamil Nadu",2,755,,33,"12.8334171301251,80.2314735795429",14000000,12785
"Chennai, Tamil Nadu",3,1753,,20,"12.892227,80.189139",8500000,4849
"Chennai, Tamil Nadu",2,900,,3,"13.0054766549295,80.2563891548673",15000000,14423
"Chennai, Tamil Nadu",2,899,,2,"13.1240998,80.213393",6950000,6514
"Chennai, Tamil Nadu",3,,,2,"12.9219672,80.1129557",7500000,6287
"Chennai, Tamil Nadu",3,1255,,13,"12.9974388853493,80.1908245243892",15500000,8201
"Chennai, Tamil Nadu",2,880,,3,"13.2187318018264,80.3190286981945",9000000,8108
"Chennai, Tamil Nadu",2,428,,10,"13.0522976,80.211436",8900000,14172
"Chennai, Tamil Nadu",2,850,,,"13.0339421126201,80.1200016835048",5300000,6092
"Chennai, Tamil Nadu",3,,,4,"12.918147,80.190008",9000000,7944
"Chennai, Tamil Nadu",3,,,2,"12.9841277179106,80.2623015088454",20500000,14437
"Chennai, Tamil Nadu",3,,,14,"13.0791258592662,80.1737112687901",9500000,6786
"Chennai, Tamil Nadu",2,,,2,"13.1118299685649,80.1568173577039",5000000,6250
"Chennai, Tamil Nadu",3,640,,,"13.0781784,80.1532675",12000000,8571
"Chennai, Tamil Nadu",3,1203,,2,"12.9658547351345,80.2020908058975",12500000,6944
"Chennai, Tamil Nadu",3,,,3,"12.969714688631,80.2108492579889",11000000,7333
"Chennai, Tamil Nadu",2,,,11,"12.7297220332773,80.1980741778528",2200000,4159
"Chennai, Tamil Nadu",2,603,,5,"13.0383375524216,80.1548939621031",7500000,8197
"Chennai, Tamil Nadu",3,,,28,"12.8337737510533,80.2286447084767",7990000,7071
"Chennai, Tamil Nadu",3,1385,,15,"13.1353373751023,80.1698230878638",11900000,7305
"Chennai, Tamil Nadu",3,1368,,3,"13.0052681327457,80.2588530731655",28800000,16000
"Chennai, Tamil Nadu",3,1624,,5,"13.1660276,80.3019369",15500000,9544
"Chennai, Tamil Nadu",2,780,,3,"12.940413,80.238329",7300000,7858
"Chennai, Tamil Nadu",3,1075,,3,"13.0581029655071,80.2028747508024",13800000,9878
"Chennai, Tamil Nadu",3,1400,,,"13.0839192,80.2388421",90000000,33259
"Chennai, Tamil Nadu",2,680,,,"13.1130462547504,80.2287845816225",7500000,8523
"Chennai, Tamil Nadu",3,1418,,2,"12.8968883,80.2248234",10000000,5513
"Chennai, Tamil Nadu",2,,,4,"13.0461512,80.0963168",4200000,4641
"Chennai, Tamil Nadu",3,1367,,9,"12.9841277179106,80.2623015088454",14000000,
"Chennai, Tamil Nadu",3,,,4,"13.0223735562891,80.1501986547555",11600000,7572
"Chennai, Tamil Nadu",3,,,19,"12.8460555,80.2246475",13000000,7898
"Chennai, Tamil Nadu",2,,,4,"12.892227,80.189139",5000000,5336
"Chennai, Tamil Nadu",2,700,,1,"12.9790785,80.219185",7500000,8333
"Chennai, Tamil Nadu",2,864,,4,"13.0734381881256,80.1680063242664",6800000,7226
"Chennai, Tamil Nadu",3,1200,,,"12.9573702,80.206499",8500000,6538
"Chennai, Tamil Nadu",2,1041,,4,"12.9841277179106,80.2623015088454",13400000,10720
"Chennai, Tamil Nadu",2,900,,1,"12.949622,80.1463045",6400000,
"Chennai, Tamil Nadu",3,952,,19,"12.8078981093305,80.2233711681942",8166000,6000
"Chennai, Tamil Nadu",2,,,5,"13.0159937334177,80.1792964667864",6500000,7541
"Chennai, Tamil Nadu",3,1630,,4,"13.0360786481893,80.255116967899",37703000,18500
"Chennai, Tamil Nadu",3,1294,,43,"12.8968883,80.2248234",22438000,13000
"Chennai, Tamil Nadu",2,,,1,"12.9195616264298,80.1918348001186",2900000,4915
"Chennai, Tamil Nadu",2,500,,3,"13.0460942708295,80.2483930936399",3000000,5455
"Chennai, Tamil Nadu",2,,,3,"13.0597620334166,80.2759072709935",10650000,15000
"Chennai, Tamil Nadu",3,,,3,"13.048815,80.1970194",4725000,4500
"Chennai, Tamil Nadu",3,1336,,,"12.9390588702215,80.1775856428429",16000000,11679
"Chennai, Tamil Nadu",2,958,,4,"12.9333066552837,80.1439543507643",6222000,6488
"Chennai, Tamil Nadu",2,,,6,"13.0791258592662,80.1737112687901",13000000,12241
"Chennai, Tamil Nadu",2,,,2,"12.9829067239217,80.1468480744727",4739232,5410
"Chennai, Tamil Nadu",3,830,,,,3650000,3561
"Chennai, Tamil Nadu",3,1150,,16,"12.9219672,80.1129557",12500000,9158
"Chennai, Tamil Nadu",2,920,,1,"12.96404709,80.20368737",5800000,6304
"Chennai, Tamil Nadu",2,750,,2,"12.9037781526015,80.1471307532943",6000000,6316
"Chennai, Tamil Nadu",3,,,3,"12.9204632720855,80.1271003876472",14400000,9000
"Chennai, Tamil Nadu",2,765,,4,"12.8313399177341,80.2041680540718",4100000,5359
"Chennai, Tamil Nadu",3,,,4,,9000000,6667
"Chennai, Tamil Nadu",3,,,,"12.88611,80.203679",12500000,5195
"Chennai, Tamil Nadu",2,282,,2,"13.1240998,80.213393",3200000,5704
"Chennai, Tamil Nadu",2,,,3,"12.8118115,80.0542946",4000000,4950
"Chennai, Tamil Nadu",2,835,,4,,4700000,5629
"Chennai, Tamil Nadu",3,750,,12,"13.0839192,80.2388421",11000000,11579
"Chennai, Tamil Nadu",2,832,,2,"12.9734035,80.1319385",5292000,
"Chennai, Tamil Nadu",3,,,2,"13.1185145712651,80.186277516593",11500000,8042
"Chennai, Tamil Nadu",2,952,,4,"12.8920912851653,80.0827480919207",6200000,5905
"Chennai, Tamil Nadu",2,842,,2,"12.9880919168144,80.2025989057477",8500000,
"Chennai, Tamil Nadu",2,880,,,"12.8487073084389,80.1478524166925",7000000,5833
"Chennai, Tamil Nadu",3,1580,,2,"12.918147,80.190008",15500000,9086
"Chennai, Tamil Nadu",3,1042,,7,"12.8415741112588,80.0657885550007",15000000,10563
"Chennai, Tamil Nadu",3,900,,7,"12.9703964,80.0897741",4800000,4255
"Chennai, Tamil Nadu",3,,,4,"12.7867868,80.0274808",4100000,2556
"Chennai, Tamil Nadu",2,,,2,"12.9404019382945,80.1764660347748",6000000,5455
"Chennai, Tamil Nadu",2,1015,,3,"13.0906092311547,80.194741545783",36500000,30041
"Chennai, Tamil Nadu",3,1430,,5,,15100000,3063
"Chennai, Tamil Nadu",2,,,,,4500000,5294
"Chennai, Tamil Nadu",2,900,,3,"12.8646634,80.072178",5000000,
"Chennai, Tamil Nadu",3,,,3,"12.9488442,79.9350954",3500000,2465
"Chennai, Tamil Nadu",2,800,,2,"13.0383375524216,80.1548939621031",5900000,6659
"Chennai, Tamil Nadu",2,800,,1,"13.1353373751023,80.1698230878638",4600000,5542
"Chennai, Tamil Nadu",3,1000,,28,"12.8337737510533,80.2286447084767",7700000,6814
"Chennai, Tamil Nadu",2,,,,"12.8096765073551,79.7357946166671",3125000,2962
"Chennai, Tamil Nadu",3,1200,,3,"12.9350888,80.1695623",11500000,7667
"Chennai, Tamil Nadu",3,1400,,4,,25000000,
"Chennai, Tamil Nadu",2,660,,3,"13.1067644888464,80.0971337293527",2200000,
"Chennai, Tamil Nadu",2,625,,2,"13.1130382199902,80.2463549339965",6300000,7836
"Chennai, Tamil Nadu",3,865,,20,"12.9204632720855,80.1271003876472",12500000,13298
"Chennai, Tamil Nadu",3,,,,"12.8348637849915,79.6949912348003",12500000,5411
"Chennai, Tamil Nadu",2,700,,,"12.8500328001476,79.6904216000374",3500000,2881
"Chennai, Tamil Nadu",2,,,,"12.8500328001476,79.6904216000374",2600000,3495
"Chennai, Tamil Nadu",2,650,,4,"12.8655056827247,80.1907324904561",4800000,6349
"Chennai, Tamil Nadu",2,,,15,"12.8920912851653,80.0827480919207",6400000,5745
"Chennai, Tamil Nadu",2,875,,,"13.1350784,80.1845815",6700000,7657
"Chennai, Tamil Nadu",2,598,,15,"12.9385149814434,80.2185794136803",9800000,11316
"Chennai, Tamil Nadu",3,1000,,4,"12.8078981093305,80.2233711681942",8500000,6661
"Chennai, Tamil Nadu",2,,,,"13.031615,79.979535",3500000,4375
"Chennai, Tamil Nadu",2,80,,,,7600000,5588
"Chennai, Tamil Nadu",2,,,2,"13.1095459,80.2051616",4500000,8182
"Chennai, Tamil Nadu",2,2400,,2,"12.8646634,80.072178",4800000,4692
"Chennai, Tamil Nadu",2,,,3,"12.9385149814434,80.2185794136803",3800000,3918
"Chennai, Tamil Nadu",2,990,,14,"13.118786615256,80.2397630550753",7500000,7576
"Chennai, Tamil Nadu",3,,,9,"12.78926647521,80.2216878562107",4500000,3937
"Chennai, Tamil Nadu",2,,,2,"13.0983059682101,80.1364820290977",5000000,10684
"Chennai, Tamil Nadu",2,,,3,"13.0253,80.111669",2800000,3325
"Chennai, Tamil Nadu",3,1045,,13,"12.9071054889417,80.0834097998215",13000000,9059
"Chennai, Tamil Nadu",2,,,3,"12.992956,80.102736",4000000,4224
"Chennai, Tamil Nadu",2,950,,2,"13.089171190184,80.2538345289439",9500000,10000
"Chennai, Tamil Nadu",3,,,,"13.072922494479,80.1942782331661",16060000,11000
"Chennai, Tamil Nadu",2,550,,7,"12.8646634,80.072178",3450000,5308
"Chennai, Tamil Nadu",3,1199,,2,"12.9401140183905,80.2400909926886",8000000,5517
"Chennai, Tamil Nadu",3,1333,,4,"12.9272934700116,80.1937509272538",9500000,
"Chennai, Tamil Nadu",3,,,4,"13.0135845732509,80.1353232435799",7000000,6140
"Chennai, Tamil Nadu",3,,,1,"12.8643120425638,80.1460469493872",7500000,5000
"Chennai, Tamil Nadu",2,844,,2,"12.8415741112588,80.0657885550007",3500000,3684
"Chennai, Tamil Nadu",2,,,4,"12.994909744074,80.0015618279544",3000000,3953
"Chennai, Tamil Nadu",2,,,7,"12.992956,80.102736",4200000,6752
"Chennai, Tamil Nadu",2,,,1,"12.9790785,80.219185",4500000,5769
"Chennai, Tamil Nadu",2,,,18,"13.072922494479,80.1942782331661",11200000,18391
"Chennai, Tamil Nadu",3,1110,,,"12.8584827979507,80.2097346240516",12200000,6103
"Chennai, Tamil Nadu",2,780,,19,"13.03475,79.993778",5600000,6306
"Chennai, Tamil Nadu",2,,,1,"13.0654820776948,80.219590055542",21000000,11667
"Chennai, Tamil Nadu",2,550,,18,"12.8968883,80.2248234",4100000,6308
"Chennai, Tamil Nadu",3,,,,"13.0824676325256,80.1749589803406",14000000,8480
"Chennai, Tamil Nadu",2,700,,3,"12.9880919168144,80.2025989057477",8400000,10000
"Chennai, Tamil Nadu",2,,,2,"13.0533487445137,80.2012298148692",9900000,9184
"Chennai, Tamil Nadu",2,1009,,15,"12.8337737510533,80.2286447084767",5200000,4901
"Chennai, Tamil Nadu",2,792,,14,"12.648269,80.03853",4600000,4670
"Chennai, Tamil Nadu",2,,,2,"13.1067644888464,80.0971337293527",3000000,3896
"Chennai, Tamil Nadu",2,680,,2,"12.9195890929579,80.0841127354833",2800000,3590
"Chennai, Tamil Nadu",2,160,,5,"12.9687252677993,80.1522123304105",5500000,
"Chennai, Tamil Nadu",2,725,,2,"12.9658547351345,80.2020908058975",4700000,5452
"Chennai, Tamil Nadu",2,,,3,"13.0716230102867,80.2172890360261",8800000,9944
"Chennai, Tamil Nadu",3,1120,,4,"12.9974388853493,80.1908245243892",6900000,4119
"Chennai, Tamil Nadu",2,,,,"13.0253,80.111669",5045298,6727
