address,bedrooms,carpet_area,carp_area_unit,floors,location,price,price_per_sq_ft
"Kolkata, West Bengal",3,897,,4,"22.5109605,88.330497",7000000,6796
"Kolkata, West Bengal",2,1450,,5,"22.7708577176128,88.3217698864856",5500000,3333
"Kolkata, West Bengal",3,902,,12,"22.452025,88.3011729",7000000,5109
"Kolkata, West Bengal",3,700,,3,"22.4989321,88.314684",3200000,3556
"Kolkata, West Bengal",3,1150,,3,"22.5109914587633,88.3729893387633",6500000,4727
"Kolkata, West Bengal",3,1250,,2,"22.4739768,88.3678436",7500000,5357
"Kolkata, West Bengal",2,,,4,"22.7268520168502,88.4860450081559",4000000,3857
"Kolkata, West Bengal",3,820,,4,"22.6727870235105,88.3407020661963",3200000,3232
"Kolkata, West Bengal",2,,,6,"22.6911425370566,88.4760379308133",3800000,4606
"Kolkata, West Bengal",3,,,5,"22.7268520168502,88.4860450081559",3700000,2517
"Kolkata, West Bengal",2,680,,3,"22.488383649837,88.3912525485945",5200000,5991
"Kolkata, West Bengal",2,716,,3,"22.462561,88.390719",3500000,3906
"Kolkata, West Bengal",3,900,,4,"22.6061176,88.397639",4000000,3636
"Kolkata, West Bengal",3,1208,,11,"22.44426237,88.41105723",9500000,6291
"Kolkata, West Bengal",3,1006,,5,"22.6322091416971,88.4501774973632",8500000,6757
"Kolkata, West Bengal",3,750,,5,"22.6174825,88.428258",4800000,4800
"Kolkata, West Bengal",3,1400,,4,"22.5229165,88.3494675",16500000,9821
"Kolkata, West Bengal",3,950,,3,"22.6095933482621,88.4164754400227",5300000,4015
"Kolkata, West Bengal",2,700,,4,"22.5037495,88.405559",4000000,4545
"Kolkata, West Bengal",2,690,,4,"22.4829535296365,88.288663292571",2100000,
"Kolkata, West Bengal",3,980,,5,"22.5913323,88.4821379",7900000,6320
"Kolkata, West Bengal",2,,,5,"22.6468155124079,88.4328196077783",2200000,3411
"Kolkata, West Bengal",2,1090,,12,"22.5518856758608,88.3917706689672",7500000,
"Kolkata, West Bengal",2,,,4,"22.6746164,88.2902956",2300000,2854
"Kolkata, West Bengal",2,,,,"22.6174825,88.428258",3500000,4263
"Kolkata, West Bengal",2,923,,4,"22.462561,88.390719",7150000,6201
"Kolkata, West Bengal",2,850,,5,"22.6462838798258,88.4392257996707",3500000,3684
"Kolkata, West Bengal",2,708,,5,"22.4050295,88.4082035",4000000,4520
"Kolkata, West Bengal",3,1005,,5,"22.5286222234965,88.3659360116177",14500000,11694
"Kolkata, West Bengal",2,800,,2,"22.462561,88.390719",2380000,2975
"Kolkata, West Bengal",2,750,,4,"22.6322091416971,88.4501774973632",6800000,7242
"Kolkata, West Bengal",2,572,,3,"22.48726463,88.33392052",2400000,4196
"Kolkata, West Bengal",2,828,,12,"22.436286,88.3972076",5300000,5121
"Kolkata, West Bengal",2,750,,4,"22.6095933482621,88.4164754400227",4200000,4541
"Kolkata, West Bengal",2,900,,3,"22.4792722939238,88.3358132411599",4700000,4273
"Kolkata, West Bengal",3,720,,4,"22.7268520168502,88.4860450081559",2500000,2660
"Kolkata, West Bengal",3,785,,12,"22.5109605,88.330497",12000000,13423
"Kolkata, West Bengal",3,,,4,"22.5166549,88.363341",25000000,14560
"Kolkata, West Bengal",2,560,,4,"22.4789783,88.36119",2325000,3229
"Kolkata, West Bengal",3,884,,4,"22.4465569509092,88.3713608686012",3500000,3365
"Kolkata, West Bengal",2,570,,18,"22.707334,88.377845",4000000,4938
"Kolkata, West Bengal",2,850,,4,"22.6091998581349,88.4244771274374",4900000,4455
"Kolkata, West Bengal",3,990,,4,"22.7602199563765,88.3770782292498",4950000,3536
"Kolkata, West Bengal",3,1468,,14,"22.4975408050019,88.3500407147192",13500000,7357
"Kolkata, West Bengal",2,638,,12,"22.6322091416971,88.4501774973632",5500000,6892
"Kolkata, West Bengal",3,890,,5,"22.5286222234965,88.3659360116177",12500000,11704
"Kolkata, West Bengal",3,1290,,4,"22.7268520168502,88.4860450081559",4650000,2870
"Kolkata, West Bengal",2,1120,,4,"22.51514361,88.32637206",7500000,4688
"Kolkata, West Bengal",3,1044,,5,"22.6911425370566,88.4760379308133",6500000,4981
"Kolkata, West Bengal",3,724,,4,,4400000,3624
"Kolkata, West Bengal",2,748,,4,"22.6911425370566,88.4760379308133",4200000,4492
"Kolkata, West Bengal",3,1910,,,"22.5752621406664,88.2053157024334",6000000,
"Kolkata, West Bengal",2,865,,4,"22.707334,88.377845",3000000,3000
"Kolkata, West Bengal",2,,,3,"22.7602199563765,88.3770782292498",2600000,3171
"Kolkata, West Bengal",2,604,,3,"22.4866854557907,88.3138694977795",2600000,3662
"Kolkata, West Bengal",2,,,3,"22.5109914587633,88.3729893387633",6500000,7222
"Kolkata, West Bengal",3,1200,,4,"22.5947656,88.3850575",8750000,7000
"Kolkata, West Bengal",2,769,,4,"22.6016063138294,88.3465953824056",3200000,
"Kolkata, West Bengal",2,500,,5,"22.6244838,88.4390133",3000000,3750
"Kolkata, West Bengal",3,973,,13,"22.6116673830995,88.4671187102076",15800000,11302
"Kolkata, West Bengal",2,700,,4,"22.6911425370566,88.4760379308133",3000000,3529
"Kolkata, West Bengal",2,900,,5,"22.611496,88.399079",4500000,4286
"Kolkata, West Bengal",3,1100,,4,"22.4866854557907,88.3138694977795",7142044,5101
"Kolkata, West Bengal",3,1100,,12,"22.5913323,88.4821379",11500000,8812
"Kolkata, West Bengal",2,776,,3,"22.4708985,88.3634115",3950000,3292
"Kolkata, West Bengal",3,972,,11,"22.452025,88.3011729",7800000,6420
"Kolkata, West Bengal",2,700,,3,"22.50163466,88.38428791",3200000,4211
"Kolkata, West Bengal",2,,,4,"22.4852304185756,88.3209066222116",4500000,4500
"Kolkata, West Bengal",3,1250,,3,"22.5037495,88.405559",7200000,4787
"Kolkata, West Bengal",3,800,,4,"22.6322091416971,88.4501774973632",5500000,5446
"Kolkata, West Bengal",3,1097,,5,"22.6211499922792,88.4136608522245",6000000,4373
"Kolkata, West Bengal",2,,,10,"22.6244838,88.4390133",8500000,12126
"Kolkata, West Bengal",3,,,3,"22.5092152392521,88.3876182962744",4800000,5053
"Kolkata, West Bengal",3,850,,15,"22.452025,88.3011729",7300000,6472
"Kolkata, West Bengal",3,1270,,30,"22.5913323,88.4821379",16500000,10390
"Kolkata, West Bengal",3,,,,"22.6139886204392,88.270435148777",7000000,4118
"Kolkata, West Bengal",3,,,,"22.423527,88.431747",5700000,5700
"Kolkata, West Bengal",3,1127,,1,"22.4499075,88.3957111",6000000,5000
"Kolkata, West Bengal",2,700,,4,"22.6529129090723,88.3783271086755",3500000,4730
"Kolkata, West Bengal",3,,,5,"22.6235801,88.3788415",7000000,6542
"Kolkata, West Bengal",2,700,,4,"22.4769712,88.35749843",2300002,2875
"Kolkata, West Bengal",3,,,4,"22.518036,88.4001305",7800000,7429
"Kolkata, West Bengal",2,,,4,"22.6322091416971,88.4501774973632",3400000,4014
"Kolkata, West Bengal",2,,,3,"22.515049,88.3494499",9500000,10215
"Kolkata, West Bengal",2,568,,5,"22.4977211,88.4036549",3900000,5493
"Kolkata, West Bengal",3,1420,,12,"22.4726422781475,88.3884741729649",12000000,
"Kolkata, West Bengal",2,,,5,"22.6259000766165,88.3554641695078",4200000,4167
"Kolkata, West Bengal",2,950,,4,"22.4708985,88.3634115",3400000,2833
"Kolkata, West Bengal",2,1352,,4,"22.6031342811706,88.4064939786919",11500000,6805
"Kolkata, West Bengal",2,660,,4,"22.4989321,88.314684",3400000,4000
"Kolkata, West Bengal",3,1050,,21,"22.6235801,88.3788415",11700000,9360
"Kolkata, West Bengal",3,1000,,4,"22.483427,88.4187745",5500000,4400
"Kolkata, West Bengal",2,800,,3,"22.5744154124187,88.3139099727214",3500000,4118
"Kolkata, West Bengal",2,750,,4,"22.483427,88.4187745",5000000,5656
"Kolkata, West Bengal",2,820,,6,"22.6499294645247,88.4141900730997",5500000,5382
"Kolkata, West Bengal",2,,,5,"22.6911425370566,88.4760379308133",3500000,3680
"Kolkata, West Bengal",3,1174,,3,"22.462561,88.390719",6000000,5111
"Kolkata, West Bengal",2,535,,25,"22.650658,88.3800254",6800000,8344
"Kolkata, West Bengal",2,550,,9,"22.5006271,88.3966239",7700000,10969
"Kolkata, West Bengal",3,1000,,4,"22.4693178367555,88.3959646263232",5500000,4231
"Kolkata, West Bengal",2,,,3,"22.462561,88.390719",3375000,4500
"Kolkata, West Bengal",3,1150,,12,"22.5109605,88.330497",22000000,13095
"Kolkata, West Bengal",2,578,,4,"22.5913323,88.4821379",2800000,4112
"Kolkata, West Bengal",3,1300,,4,"22.6998071,88.3901027",7000000,6364
"Kolkata, West Bengal",3,1148,,4,"22.4953468082289,88.3395459634246",8200000,5714
"Kolkata, West Bengal",3,1900,,6,"22.511939,88.348094",40000000,16842
"Kolkata, West Bengal",3,,,4,"22.462561,88.390719",6500000,5417
"Kolkata, West Bengal",3,,,12,"22.6727870235105,88.3407020661963",5700000,5094
"Kolkata, West Bengal",2,720,,4,"22.671419061318,88.4303986002605",2798400,3300
"Kolkata, West Bengal",3,800,,3,"22.4914608186585,88.3918745509369",7700000,7000
"Kolkata, West Bengal",2,700,,4,"22.46979275,88.35534271",7000000,8323
"Kolkata, West Bengal",2,600,,,"22.4989321,88.314684",3500000,5000
"Kolkata, West Bengal",3,1280,,4,"22.5056764855682,88.3553575273392",12500000,7812
"Kolkata, West Bengal",3,1050,,23,"22.5777730025888,88.4323485164974",12900000,8746
"Kolkata, West Bengal",3,,,4,"22.4407362666858,88.4247206883286",6500000,4339
"Kolkata, West Bengal",2,,,3,"22.497367369028,88.3524152550372",3500000,4667
"Kolkata, West Bengal",3,959,,5,"22.6911425370566,88.4760379308133",6200000,5214
"Kolkata, West Bengal",3,1100,,6,"22.6322091416971,88.4501774973632",7200000,5475
"Kolkata, West Bengal",3,850,,5,"22.5857569727824,88.2339943830877",2931000,2997
"Kolkata, West Bengal",3,,,13,"22.5913323,88.4821379",17500000,19531
"Kolkata, West Bengal",2,840,,5,"22.6322091416971,88.4501774973632",4500000,4310
"Kolkata, West Bengal",3,,,10,"22.7026190782896,88.374734925341",4500000,4639
"Kolkata, West Bengal",2,660,,4,"22.4609625,88.3864902",2800000,3636
"Kolkata, West Bengal",2,,,6,"22.5844675495226,88.2780952467551",4700000,5027
"Kolkata, West Bengal",2,689,,3,"22.4975408050019,88.3500407147192",2900000,3580
"Kolkata, West Bengal",3,640,,4,"22.59674355,88.33979193",2200000,3333
"Kolkata, West Bengal",3,1050,,14,"22.511135,88.24616",4500000,3750
"Kolkata, West Bengal",2,932,,2,"22.520649892003,88.3811358806701",6000000,5469
"Kolkata, West Bengal",3,,,4,"22.4914608186585,88.3918745509369",8600000,6853
"Kolkata, West Bengal",2,369,,18,"22.4570934661859,88.3025991848637",3400000,5484
"Kolkata, West Bengal",3,744,,4,"22.6322091416971,88.4501774973632",4500000,4839
"Kolkata, West Bengal",2,723,,3,"22.46979275,88.35534271",3200000,3765
"Kolkata, West Bengal",3,1370,,22,"22.5109605,88.330497",17000000,10513
"Kolkata, West Bengal",2,980,,5,"22.5166549,88.363341",12500000,10593
"Kolkata, West Bengal",3,1089,,5,"22.4708985,88.3634115",10000000,7342
"Kolkata, West Bengal",3,,,5,"22.4499075,88.3957111",4200000,3544
"Kolkata, West Bengal",2,630,,2,"22.4526355,88.3034825",2650000,3786
"Kolkata, West Bengal",3,1038,,13,"22.6322091416971,88.4501774973632",12500000,9630
"Kolkata, West Bengal",2,605,,4,"22.436286,88.3972076",3200000,4233
"Kolkata, West Bengal",2,850,,4,"22.5913323,88.4821379",7000000,6667
"Kolkata, West Bengal",2,614,,5,"22.7390594603284,88.3743591935275",3500000,4342
"Kolkata, West Bengal",3,1150,,4,"22.538569,88.362107",15000000,11111
"Kolkata, West Bengal",3,668,,7,"22.7602199563765,88.3770782292498",5200000,4801
"Kolkata, West Bengal",2,549,,3,"22.4805253856659,88.2826771606671",2150000,3333
"Kolkata, West Bengal",2,926,,4,"22.612633,88.474306",6600000,5935
"Kolkata, West Bengal",2,873,,8,"22.5174769410057,88.3831268728877",9700000,8891
"Kolkata, West Bengal",2,,,5,"22.63343479,88.40819436",4200000,4976
"Kolkata, West Bengal",2,675,,4,"22.6230394014948,88.4373140678326",3001000,4001
"Kolkata, West Bengal",3,948,,12,"22.4442278339721,88.4121408051433",8500000,6677
"Kolkata, West Bengal",2,539,,2,"22.6261676,88.4461112",2550000,4016
"Kolkata, West Bengal",3,,,4,"22.462561,88.390719",9100000,6681
"Kolkata, West Bengal",3,1000,,19,"22.5752621406664,88.2053157024334",7500000,6250
"Kolkata, West Bengal",3,1336,,,"22.6299271,88.4346975",25000000,14970
"Kolkata, West Bengal",2,,,4,"22.6211987414497,88.4179649158646",2100000,3000
"Kolkata, West Bengal",2,750,,3,"22.5033354,88.39828869",3500000,4070
"Kolkata, West Bengal",3,754,,4,"22.4866854557907,88.3138694977795",4200000,
"Kolkata, West Bengal",2,,,3,"22.488383649837,88.3912525485945",5750000,6298
"Kolkata, West Bengal",3,1515,,15,"22.511135,88.24616",5500000,3387
"Kolkata, West Bengal",3,1171,,16,"22.5782811149978,88.4632851916895",14500000,9904
"Kolkata, West Bengal",2,,,11,"22.625959,88.457751",7500000,10563
"Kolkata, West Bengal",3,850,,4,"22.5109605,88.330497",5500000,5093
"Kolkata, West Bengal",2,630,,3,"22.5040587584394,88.349755871201",5500000,6208
"Kolkata, West Bengal",3,1050,,5,"22.571393589697,88.3961395823955",10300000,
"Kolkata, West Bengal",3,720,,3,"22.507243,88.342947",8500000,
"Kolkata, West Bengal",2,504,,5,"22.594919,88.4363745",3600000,6071
"Kolkata, West Bengal",3,1280,,4,"22.5037495,88.405559",8200000,6260
"Kolkata, West Bengal",3,850,,12,"22.4883365558916,88.2704845353971",5600000,5273
"Kolkata, West Bengal",2,310,,4,"22.6441115722038,88.3776655603519",1500000,3151
"Kolkata, West Bengal",3,800,,6,"22.6322091416971,88.4501774973632",5500000,4645
"Kolkata, West Bengal",3,950,,4,"22.4977211,88.4036549",9000000,6429
"Kolkata, West Bengal",2,,,3,"22.504148474996,88.3452766115927",6000000,6593
"Kolkata, West Bengal",2,693,,5,"22.5913323,88.4821379",4700000,4896
"Kolkata, West Bengal",2,600,,3,"22.5036197379466,88.3903713128196",4500000,6923
"Kolkata, West Bengal",2,,,4,"22.4975408050019,88.3500407147192",5000000,4762
"Kolkata, West Bengal",3,,,5,"22.6299271,88.4346975",5400000,4696
"Kolkata, West Bengal",3,1084,,12,"22.4883365558916,88.2704845353971",5200000,4333
"Kolkata, West Bengal",2,1000,,3,"22.51947879,88.38287694",5200000,5000
"Kolkata, West Bengal",2,600,,4,"22.4989321,88.314684",3000000,4000
"Kolkata, West Bengal",2,600,,4,"22.6462838798258,88.4392257996707",2600000,3023
"Kolkata, West Bengal",2,,,17,"22.4975408050019,88.3500407147192",9200000,13013
"Kolkata, West Bengal",2,850,,5,"22.6462838798258,88.4392257996707",6500000,6167
