id,posted_date,price,price_per_sq_ft,currency,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
83856123,2026-03-19T08:41:05.000Z,3500000,4944,₹,,,,1,,,Kanpur,2,"Kanpur, Uttar Pradesh",708,,12800,
61067853,2025-12-15T21:30:40.000Z,5000000,3571,₹,,,,2,,4,Kanpur,3,"Kanpur, Uttar Pradesh",1400,,12800,
83784485,2026-03-14T13:00:08.000Z,3999000,4443,₹,830,,1,2,,5,Kanpur,2,"Kanpur, Uttar Pradesh",900,,12800,
68880091,2026-03-22T09:53:31.000Z,25000000,7812,₹,3200,,,2,,,Kanpur,2,"Kanpur, Uttar Pradesh",3200,,12800,
82002979,2026-03-20T07:19:23.000Z,1700000,2833,₹,600,,1,2,,3,Kanpur,2,"Kanpur, Uttar Pradesh",600,,12800,
69082393,2026-03-24T03:18:16.000Z,7000000,4667,₹,,,,2,,8,Kanpur,3,"Kanpur, Uttar Pradesh",1500,,12800,
81476531,2025-12-11T22:30:34.000Z,3200000,3765,₹,800,,1,2,North,2,Kanpur,2,"Kanpur, Uttar Pradesh",850,,12800,
83896161,2026-03-21T17:51:48.000Z,4000000,,₹,1000,,1,2,North,,Kanpur,3,"Kanpur, Uttar Pradesh",,,,
83896117,2026-03-21T17:42:28.000Z,2400000,7432,₹,30,,2,3,,,Kanpur,3,"Kanpur, Uttar Pradesh",30,,12801,
82054495,2026-03-24T21:32:15.000Z,4800000,5647,₹,,,,2,,3,Kanpur,2,"Kanpur, Uttar Pradesh",850,,12800,
83890187,2026-03-21T08:45:12.000Z,3000000,2857,₹,,,,2,,4,Kanpur,2,"Kanpur, Uttar Pradesh",1050,,12800,
68195493,2026-03-20T15:25:33.000Z,5300000,3344,₹,,,,2,,12,Kanpur,2,"Kanpur, Uttar Pradesh",1585,,12800,
68195489,2026-03-20T15:25:29.000Z,4800000,4103,₹,,,,2,,11,Kanpur,2,"Kanpur, Uttar Pradesh",1170,,12800,
68195487,2026-03-20T15:25:25.000Z,3850000,3222,₹,,,,2,,14,Kanpur,2,"Kanpur, Uttar Pradesh",1195,,12800,
68195485,2026-03-20T15:25:21.000Z,5500000,4603,₹,,,,2,,12,Kanpur,2,"Kanpur, Uttar Pradesh",1195,,12800,
68195483,2026-03-20T15:25:17.000Z,5300000,3344,₹,,,,3,,12,Kanpur,3,"Kanpur, Uttar Pradesh",1585,,12800,
