id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
67754537,2026-03-24T06:35:39.000Z,37500000,386,₹,"8.4696835,76.9254134",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67754619,2026-03-24T06:36:33.000Z,35000000,16070,₹,"8.5013773,76.9499028",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67754613,2026-03-24T06:36:32.000Z,2500000,1389,₹,"8.5013773,76.9499028",,,,,3,,,Trivandrum,3,"Trivandrum, Kerala",1800,,12800,
67754611,2026-03-24T06:36:30.000Z,3200000,918,₹,"8.5013773,76.9499028",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67754609,2026-03-24T06:36:28.000Z,16500000,3300,₹,"8.5013773,76.9499028",,,12800,,4,,,Trivandrum,5,"Trivandrum, Kerala",5000,,12800,
83923201,2026-03-24T10:11:36.000Z,2000000,765,₹,"8.528042109,76.93663687",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67766807,2026-03-24T10:07:23.000Z,10000000,19493,₹,"8.495959,76.96655",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67766805,2026-03-24T10:07:18.000Z,6100000,4692,₹,"8.495959,76.96655",,,,,3,,,Trivandrum,2,"Trivandrum, Kerala",1300,,12800,
63846287,2025-12-12T21:33:49.000Z,4250000,19,₹,"8.53874931546226,76.9888830828931",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67766811,2026-03-24T10:07:28.000Z,36000000,2755,₹,"8.495959,76.96655",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
67766801,2026-03-24T10:07:13.000Z,4500000,4757,₹,"8.495959,76.96655",,,,,2,,,Trivandrum,2,"Trivandrum, Kerala",946,,12800,
67766797,2026-03-24T10:07:08.000Z,8000000,,₹,"8.495959,76.96655",,,,,3,,,Trivandrum,3,"Trivandrum, Kerala",,,,
79174007,2025-12-27T22:30:32.000Z,4700000,6026,₹,"8.558843,76.860563",,800,,1,2,South - East,8,Trivandrum,2,"Trivandrum, Kerala",780,,12800,
67770067,2026-03-24T11:16:03.000Z,4500000,6429,₹,"8.498614,76.954846",,,,,1,,,Trivandrum,1,"Trivandrum, Kerala",700,,12800,
